object_type,x,y,z,orient_x,orient_y,orient_z,orient_w,held_fixed
spray_gun,-0.00780641637455245,0.07656060432657606,0.015990006412482244,-5.5848509189853784e-08,-4.820227136278594e-08,0.7192458637538028,0.6947556314799044,0
hammer,-0.14953577963756587,0.07404987465163575,0.015989031102796338,2.264390385008644e-06,5.652464390764185e-06,0.9214860546491439,0.38841144557038637,0
snack,-0.3418086059763922,-0.14976920407883657,0.015989601897759612,1.533160138095954e-06,-1.6320477289762463e-06,-0.19975540234720734,0.9798457935961613,0
snack,-0.02681320290270553,0.012356866976646327,0.0159892560399772,6.234573287955187e-06,5.541295868208237e-07,0.963419898566015,0.26799645334942857,0
