object_type,COM_x,COM_y,COM_z,x,y,z,orient_x,orient_y,orient_z,orient_w,held_fixed
bin,0.0,0.0,0.0,0.0,0.0,0.4000000000000001,-0.7071067811865475,0.0,0.0,0.7071067811865476,1
cracker_box,-0.02,-0.04,0.16,0.0720177686501492,0.08004846847862845,0.05756026514310456,0.5044121878009915,0.4923515873433431,0.5096470266793565,0.4933742670987199,0
cracker_box,-0.02,-0.04,0.16,0.07117335883637532,-0.0957848461864561,0.05755203518017582,0.5057732279318421,0.4909936232497895,0.5083994383904311,0.4946197679831884,0
cracker_box,-0.02,-0.04,0.16,-0.13459839239100804,-0.08071331769512373,0.05767253153616149,0.7044819160527598,-0.0042002056428714,0.013665297794092852,0.7095779364265695,0
cracker_box,-0.02,-0.04,0.16,0.15940235491107058,-0.08064442351583798,0.05774710347215395,0.7042059356821775,-0.008396621941764347,0.00818557593525005,0.7098989317054677,0
pudding_box,0.03,0.02,0.015,0.09402028305439178,-0.011796630636057785,0.017607372699710664,0.0022600170671190412,-0.0032399710220027073,-0.2458853105158432,0.9692908794490745,0
