object_type,COM_x,COM_y,COM_z,x,y,z,orient_x,orient_y,orient_z,orient_w,held_fixed
bin,0.0,0.0,0.0,0.0,0.0,0.4,-0.7071067811865475,0.0,0.0,0.7071067811865476,1
pudding_box,0.0,0.0,0.015,-0.046182006361876506,-0.03083024298259059,0.017606819466334418,-0.0036081214500435126,0.02007530879452495,0.9696479603303096,0.2436530247373844,0
master_chef_can,-0.015,-0.01,0.06,-0.11306582050016907,-0.14370787976416088,0.051569854811335795,-0.6189129920905968,0.3399436412437301,0.6220680253946778,-0.33825493459960887,0
tomato_soup_can,-0.01,0.085,0.04,0.1603822888853954,-0.08365979961324574,0.04185915565016269,-0.00040399517520223964,-0.0007625599523808097,-0.7987082563390725,0.6017178546013207,0
master_chef_can,-0.015,-0.01,0.06,0.14094683910451286,0.14408513890008207,0.08186573101442922,0.644444803995885,0.764649648444309,-0.000857295534127382,0.0010367164833880844,0
cracker_box,-0.01,-0.01,0.08,-0.004908788116554657,0.10963835301987779,0.05309045984854247,0.4428978653190209,-0.4458564212019444,0.5434320545486743,0.5565385293561045,0
cracker_box,-0.01,-0.01,0.08,0.038851260374547794,-0.1130070240624754,0.07638041274711159,-0.4632372248917924,0.014809655984809763,0.8846793396837488,-0.05034295880149105,0
master_chef_can,-0.015,-0.01,0.06,-0.140450060096831,0.11252976572333795,0.051043715790205384,-0.5970783920553743,0.3751924360511719,0.3687131764066224,0.6056225088408579,0
cracker_box,-0.01,-0.01,0.08,0.018691749148973296,-0.08556344670728432,0.18321215781272915,0.8810883046397464,0.023577867884624716,0.46466551997774175,0.08493196169221236,0
cracker_box,-0.01,-0.01,0.08,0.15927452714743556,-0.02898104564396387,0.21999435243262996,0.2127741626925036,0.7272016166915167,0.6046747824488427,-0.24550635804840848,0
tomato_soup_can,-0.01,0.085,0.04,-0.1526480152516338,0.01584771255849192,0.0637570851199787,0.6018238257325935,0.7986241051733255,-0.0020558959284281927,0.0018424735062956667,0
tomato_soup_can,-0.01,0.085,0.04,-0.031801613570128284,0.1600133029882019,0.11390059928273276,0.26406321789070053,0.6513263298581433,0.2597262067312941,0.6622589573027327,0
