object_type,COM_x,COM_y,COM_z,x,y,z,orient_x,orient_y,orient_z,orient_w,held_fixed
bin,0.0,0.0,0.0,0.0,0.0,0.4000000000000001,-0.7071067811865475,0.0,0.0,0.7071067811865476,1
cracker_box,-0.02,-0.04,0.16,0.07157035090789088,0.08175294937499272,0.05808574980202237,0.5019597372014214,0.49241985087545775,0.5056564044593331,0.4998706966023627,0
cracker_box,-0.02,-0.04,0.16,0.07127993078376069,-0.09646038372675766,0.05754648730745974,0.5050959995546238,0.491716218983424,0.5091511436464196,0.4938201131445578,0
cracker_box,-0.02,-0.04,0.16,-0.13782611057756886,-0.08036909311088429,0.057663929544744356,0.7045053067637234,-0.004833510576753018,0.013172568209305164,0.7095599998337193,0
cracker_box,-0.02,-0.04,0.16,0.15940431959261211,-0.08064387703503885,0.05774846070243024,0.7042020427173605,-0.008384605341584547,0.00817591730568413,0.7099030467621429,0
master_chef_can,0.02,-0.02,0.06,-0.004199843775018308,-0.010797617415595024,0.06208042467097899,0.00020059594853487602,0.0008131612134933762,-0.002879988381784481,0.9999955020883979,0
pudding_box,0.03,0.02,0.015,0.09402085620442992,-0.011797983699013146,0.017605977455167014,0.0022413779015550165,-0.003234725719521903,-0.2459092330074494,0.9692848713852444,0
