object_type,COM_x,COM_y,COM_z,x,y,z,orient_x,orient_y,orient_z,orient_w,held_fixed
bin,0.0,0.0,0.0,0.0,0.0,0.4000000000000001,-0.7071067811865475,0.0,0.0,0.7071067811865476,1
cracker_box,-0.02,-0.04,0.16,0.08041384239822917,-0.031581658599029304,0.042457236082966594,0.00488276538021861,0.7125874184610406,0.0013885094709497948,0.7015649661255333,0
cracker_box,-0.02,-0.04,0.16,0.07980293686314303,-0.1313122116624172,0.05772095079936873,0.5037973652946621,0.492219504318615,0.5081629845004966,0.495659717421178,0
cracker_box,-0.02,-0.04,0.16,0.07977724567445438,0.10869426110002163,0.05772837288308684,0.5037907872243782,0.49219229338817744,0.5080821447270473,0.4957762834653261,0
